Home_Losses_10_Gen_Form,Away_EMA_7_Gen_Form,HomeTeam_Spec_SMA_10_Form,AwayTeam_Spec_SMA_10_Form,AwayTeam_Spec_Wins_10_Form,Home_SMA_7_Gen_Goals_Pro,HomeTeam_Spec_EMA_5_Goals_Suffered,HomeTeam_Spec_EMA_10_Goals_Suffered,AwayTeam_Spec_SMA_3_Corners_Against,AwayTeam_Spec_EMA_7_Fouls_Against,AwayTeam_Spec_SMA_7_Yellows_Against,Home_SMA_5_Gen_ShotsTarget_Pro,Away_EMA_7_Gen_ShotsTarget_Against,Home_EMA_7_Gen_Shots_Pro,Home_SMA_5_Gen_Shots_Against,Away_SMA_7_Gen_Shots_Against,Home_EMA_10_Gen_GD,Away_EMA_5_Gen_GD,AwayTeam_Spec_EMA_10_GD,Home_SMA_7_Gen_Clean_Sheet,HomeTeam_Spec_EMA_10_Clean_Sheet,AwayTeam_Spec_EMA_3_Clean_Sheet,Away_EMA_7_Gen_FTS,Avg_Odds_Home,Avg_Odds_Away,FTR
5.0,-0.3614443113450955,0.0,-0.1,4.0,0.2857142857142857,0.4853293384786054,0.8035141051153776,7.666666666666667,14.265460374090432,1.2857142857142858,3.4,6.742159768979978,7.9140655622157245,10.6,11.428571428571429,-0.5443768445872142,-1.030421406669497,-0.7959732576645046,0.5714285714285714,0.5591168238597086,0.0410356619443087,0.4576762790697065,2.225,2.725,H
5.0,-0.6888917247829579,0.0,0.0,4.0,0.4285714285714285,0.3227173543673254,0.6458089935180384,10.666666666666666,9.619304647540536,1.1428571428571428,3.6,7.062184304031741,8.435941906290497,10.4,15.571428571428571,-0.2617081167908673,-2.120271585145731,-1.1783783373862051,0.7142857142857143,0.6456486346293654,0.016609672691744,0.4092227506150611,2.08,2.9,A
6.0,0.1421725598620215,-0.1,-0.3,2.0,1.0,0.8687690221771327,0.8660151329991984,5.666666666666667,7.3221340129666785,0.8571428571428571,5.0,3.9710412163542816,10.67731998663058,7.0,9.857142857142858,-0.3466669429743637,0.3531494705949147,-0.1495824123151553,0.4285714285714285,0.4191372534673042,0.0,0.1061714659629429,1.7879999999999998,3.8,H
2.0,0.037216903582913,0.5,0.0,4.0,0.8571428571428571,0.5519733237670785,0.6201598689712682,4.0,13.218216243915723,1.2857142857142858,4.8,4.282135291639597,10.300548773023424,7.8,10.285714285714286,0.4408700393937786,-0.4430719786622175,-0.7318777057067536,0.7142857142857143,0.539755009664855,0.5245421245421246,0.153341675474648,1.95,3.2299999999999995,H
3.0,-0.2114765945140253,-0.1,-0.4,1.0,1.1428571428571428,1.6360921218557112,1.401590363872003,3.6666666666666665,13.50938185466683,2.0,4.2,6.2586028229407225,8.302706178892445,12.8,13.0,-0.4582989325856897,-0.933379663122497,-0.7349771521264364,0.4285714285714285,0.2451334248921361,0.0019536019536019,0.0204006086995763,2.39,2.55,D
3.0,-0.5312492426839425,-0.2,-0.5,2.0,2.2857142857142856,0.5357176042249384,0.8275187386068389,4.666666666666667,10.627056915502164,0.8571428571428571,6.4,5.580940304637233,12.751028405262346,10.2,11.285714285714286,0.9405333373680704,-0.9425489970663342,-0.7957888841452612,0.2857142857142857,0.4365249654349419,0.0002441704309608,0.5534415557068532,1.7220000000000002,3.96,D
1.0,0.057721572751499,0.6,0.3,5.0,1.8571428571428568,0.6220709402762898,0.7577814770590495,8.333333333333334,12.215325153770747,1.2857142857142858,7.8,6.191583839349867,12.621039128080596,8.4,11.0,1.3512047445488076,0.0513185370743353,-0.1795086115402337,0.5714285714285714,0.4288523498696783,0.1943833943833944,0.2706172050019995,1.75,3.866,A
1.0,-0.6319078622250147,0.4,-0.6,2.0,1.4285714285714286,0.8730887749006818,0.9665898778173236,5.666666666666667,10.7954832564159,0.5714285714285714,6.6,7.796383851834725,11.66005882244006,7.4,15.857142857142858,0.7195486759692715,-0.975895350035138,-1.2814432906220834,0.4285714285714285,0.387641956381525,0.0156288156288156,0.2889936565343908,1.302,8.14,H
5.0,0.0099979369806824,0.3,-0.3,3.0,0.8571428571428571,0.9052783155994052,0.9736627839385512,5.666666666666667,14.348503533995764,1.4285714285714286,6.0,4.332108318439063,11.94414934937338,10.2,9.285714285714286,-0.1421491071645765,-0.1330976879898303,-0.8811032918376589,0.4285714285714285,0.5332374071501801,0.0009768009768009,0.5091162806468398,1.57,4.86,D
3.0,0.8331213292917116,-0.2,0.6,6.0,1.8571428571428568,1.566606301377656,1.6341894300173436,3.6666666666666665,12.81237800763077,3.0,5.2,3.776203172676504,9.30075568637957,9.8,8.142857142857142,-0.06557882566325,2.537086954604172,1.1250595981346645,0.1428571428571428,0.2231578840292674,0.0459208597948216,0.0184964311717493,4.82,1.614,H
